DEPT,GR,RHOB,DT,ILD,SP,CALD,DRHO
152.5,,,,,,,
153.0,,,,,,,
153.5,,,,,,,
154.0,,,,,,,
154.5,,,,,,,
155.0,,,,,,,
155.5,83.06,,,,,,
156.0,86.16,,,,,,
156.5,82.64,,,,,,
157.0,71.85,,,,,,
157.5,65.18,,,,,,
158.0,69.0,,,,,,
158.5,74.62,,,,,,
159.0,73.74,,,,,,
159.5,72.12,,,,,,
160.0,74.78,,,,,,
160.5,76.42,,,,,,
161.0,80.14,,,,,,
161.5,83.21,,,,,,
162.0,79.07,,,,,,
162.5,68.09,,,,,,
163.0,56.24,,,,,,
163.5,52.14,,,,,,
164.0,55.05,,,,,,
164.5,56.17,,,,,,
165.0,56.16,,,,,,
165.5,57.46,,,,,,
166.0,61.7,,,,,,
166.5,69.63,,,,,,
167.0,74.54,,,,,,
167.5,65.5,,,,,,
168.0,50.97,,,,,,
168.5,46.86,,,,,,
169.0,51.48,,,,,,
169.5,54.35,,,,,,
170.0,57.7,,,,,,
170.5,64.76,,,,,,
171.0,67.12,,,,,,
171.5,65.01,,,,,,
172.0,68.86,,,,,2.42,
172.5,72.14,,,,,2.42,
173.0,71.69,,,,,2.42,
173.5,71.43,2.03,,,,2.42,-0.08
174.0,71.68,2.05,,,,2.41,-0.07
174.5,69.48,2.08,,,,2.41,-0.05
175.0,61.87,2.11,,,,2.42,-0.04
175.5,52.49,2.13,,,,2.42,-0.03
176.0,49.49,2.14,,,,2.41,-0.02
176.5,55.63,2.13,,,,2.42,-0.01
177.0,65.71,2.11,,,,2.42,-0.02
177.5,70.86,2.09,,,,2.42,-0.03
178.0,70.63,2.07,,,,2.42,-0.03
178.5,71.49,2.07,,,,2.42,-0.02
179.0,70.97,2.09,,,,2.42,-0.0
179.5,69.59,2.1,,,,2.42,0.02
180.0,69.74,2.13,,,,2.42,0.03
180.5,69.3,2.2,,,,2.42,0.06
181.0,66.14,2.29,,,,2.42,0.1
181.5,63.82,2.26,,,,2.42,0.09
182.0,65.92,2.13,,,,2.42,0.05
182.5,68.51,2.03,,,,2.42,0.04
183.0,68.02,1.99,,,,2.42,0.04
183.5,68.7,1.96,,,,2.42,0.05
184.0,68.58,1.94,,,,2.42,0.05
184.5,64.95,1.92,,,,2.41,0.05
185.0,61.07,1.91,,,,2.41,0.06
185.5,60.28,1.93,,,,2.42,0.08
186.0,59.21,1.96,,,,2.42,0.12
186.5,54.88,1.98,,,,2.42,0.15
187.0,52.67,1.99,,,,2.42,0.18
187.5,51.71,2.0,,,,2.42,0.21
188.0,47.78,2.03,,,,2.42,0.26
188.5,42.07,2.07,,,,2.42,0.31
189.0,38.04,2.08,,,,2.42,0.33
189.5,36.1,2.07,,,,2.42,0.32
190.0,36.23,2.05,,,,2.42,0.3
190.5,36.26,2.02,,,,2.41,0.27
191.0,37.3,1.93,,,,2.41,0.23
191.5,40.34,1.79,,,,2.42,0.16
192.0,44.84,1.71,,,,2.42,0.12
192.5,49.38,1.77,,,,2.42,0.16
193.0,51.69,1.88,136.0,,,2.42,0.23
193.5,52.34,1.96,135.97,,,2.42,0.27
194.0,54.07,1.97,135.82,,,2.42,0.28
194.5,54.76,1.96,135.63,,,2.42,0.28
195.0,54.09,1.96,135.64,,,2.42,0.28
195.5,56.22,1.96,135.6,,,2.42,0.3
196.0,57.41,1.98,135.64,,,2.42,0.32
196.5,54.08,2.01,135.65,,,2.42,0.34
197.0,52.12,2.03,135.97,,,2.42,0.34
197.5,53.56,2.03,136.14,,,2.42,0.33
198.0,55.42,2.03,135.8,,,2.42,0.33
198.5,59.1,2.0,135.66,,,2.42,0.31
199.0,62.3,1.96,135.63,,,2.42,0.29
199.5,60.14,1.92,135.82,,,2.42,0.28
200.0,58.47,1.9,135.97,,,2.42,0.29
200.5,56.65,1.86,136.0,,,2.42,0.29
201.0,50.16,1.81,136.02,,,2.42,0.28
201.5,40.59,1.76,136.17,,,2.42,0.26
202.0,31.59,1.73,136.32,,,2.42,0.26
202.5,26.4,1.71,135.97,,,2.42,0.26
203.0,29.07,1.71,135.49,,,2.42,0.26
203.5,42.0,1.72,135.47,,,2.42,0.27
204.0,56.16,1.74,135.8,,,2.42,0.29
204.5,66.56,1.75,135.97,,,2.42,0.3
205.0,74.51,1.73,136.0,,,2.42,0.29
205.5,78.9,1.71,136.0,,,2.42,0.27
206.0,77.89,1.7,135.97,,,2.42,0.26
206.5,71.45,1.68,135.8,,,2.42,0.24
207.0,66.24,1.67,135.45,,,2.42,0.24
207.5,60.62,1.67,135.27,,,2.42,0.24
208.0,53.2,1.68,135.27,22.28,,2.42,0.25
208.5,48.08,1.69,135.45,22.19,,2.42,0.26
209.0,46.81,1.69,135.79,22.08,,2.42,0.25
209.5,48.57,1.69,135.95,21.91,,2.42,0.24
210.0,54.05,1.68,135.82,21.67,,2.42,0.23
210.5,58.44,1.68,135.65,21.47,,2.42,0.23
211.0,55.54,1.69,135.8,21.36,,2.42,0.23
211.5,48.66,1.68,135.8,21.18,,2.42,0.23
212.0,44.03,1.67,135.65,21.03,,2.42,0.21
212.5,43.35,1.66,135.82,20.85,,2.42,0.21
213.0,46.71,1.66,135.97,20.7,,2.42,0.21
213.5,51.44,1.66,136.0,20.57,,2.42,0.22
214.0,54.12,1.68,136.0,20.42,,2.42,0.23
214.5,54.39,1.71,136.0,20.44,,2.42,0.25
215.0,53.77,1.72,136.0,20.56,,2.42,0.27
215.5,50.68,1.74,135.97,20.74,,2.42,0.27
216.0,47.46,1.76,135.8,20.68,,2.42,0.28
216.5,44.59,1.8,135.45,18.89,,2.42,0.3
217.0,46.18,1.84,135.27,18.05,,2.42,0.32
217.5,50.95,1.88,135.25,18.33,,2.42,0.33
218.0,53.6,1.92,135.25,15.64,,2.42,0.35
218.5,52.84,1.96,135.34,13.44,,2.42,0.38
219.0,49.76,2.02,136.02,12.22,,2.42,0.4
219.5,49.58,2.08,137.34,11.7,0.65,2.42,0.43
220.0,54.19,2.14,138.14,19.04,1.06,2.42,0.45
220.5,58.72,2.18,137.46,10000.0,1.45,2.42,0.46
221.0,62.87,2.19,135.62,10000.0,1.91,2.42,0.46
221.5,66.91,2.19,134.43,10000.0,2.51,2.42,0.46
222.0,63.88,2.17,133.97,10000.0,2.86,2.42,0.45
222.5,56.57,2.14,133.97,10000.0,2.4,2.42,0.43
223.0,52.04,2.09,134.32,10000.0,0.62,2.42,0.41
223.5,54.31,1.99,134.65,10000.0,-2.0,2.42,0.37
224.0,62.62,1.83,134.84,10000.0,-3.45,2.42,0.31
224.5,68.31,1.66,134.67,19.07,-3.76,2.42,0.25
225.0,69.72,1.58,134.54,6.51,-3.88,2.42,0.22
225.5,75.59,1.55,134.7,2.97,-3.87,2.42,0.21
226.0,80.74,1.56,135.02,2.39,-3.3,2.42,0.2
226.5,83.59,1.59,135.04,4.05,-3.02,2.42,0.19
227.0,84.37,1.61,134.9,6.41,-3.64,2.42,0.18
227.5,82.13,1.63,135.05,6.58,-4.43,2.42,0.18
228.0,80.41,1.62,135.07,3.9,-3.76,2.42,0.17
228.5,79.23,1.57,135.08,2.7,-2.6,2.42,0.15
229.0,81.74,1.56,135.39,2.36,-1.71,2.42,0.14
229.5,81.75,1.72,135.2,2.31,-0.96,2.42,0.23
230.0,78.29,2.14,134.74,2.4,-0.75,2.42,0.45
230.5,73.82,2.62,134.7,2.56,-1.99,2.42,0.66
231.0,65.88,2.91,134.84,2.68,-3.37,2.42,0.7
231.5,58.15,2.99,134.67,2.82,-3.42,2.42,0.63
232.0,52.05,2.96,134.54,3.01,-2.34,2.42,0.59
232.5,55.32,2.87,134.7,3.15,-1.48,2.42,0.53
233.0,93.89,2.67,135.02,3.09,-3.1,2.42,0.36
233.5,96.88,2.44,135.04,2.83,-6.89,2.42,0.16
234.0,91.17,2.29,134.88,2.5,-10.07,2.41,0.04
234.5,90.06,2.24,134.89,2.27,-11.09,2.42,0.01
235.0,98.56,2.28,134.9,2.18,-9.81,2.42,0.06
235.5,108.24,2.4,135.25,2.22,-7.74,2.42,0.16
236.0,109.38,2.53,135.57,2.35,-5.88,2.42,0.26
236.5,107.61,2.62,135.42,2.52,-4.86,2.42,0.32
237.0,100.56,2.7,135.27,2.64,-4.08,2.42,0.37
237.5,89.69,2.79,135.22,2.67,-3.16,2.42,0.4
238.0,79.59,2.78,135.07,2.68,-1.91,2.42,0.31
238.5,69.61,2.59,134.9,2.72,-0.07,2.42,0.09
239.0,73.65,2.38,135.04,2.8,1.66,2.42,-0.08
239.5,91.15,2.11,135.04,2.88,2.15,2.42,-0.27
240.0,101.86,2.04,134.9,2.91,2.06,2.42,-0.29
240.5,101.42,2.11,135.07,2.86,0.82,2.42,-0.2
241.0,96.2,2.18,135.25,2.77,-2.72,2.42,-0.09
241.5,87.13,2.21,135.45,2.68,-8.86,2.42,-0.01
242.0,83.01,2.24,135.8,2.64,-14.09,2.42,0.08
242.5,84.59,2.33,135.97,2.64,-12.59,2.42,0.21
243.0,86.64,2.42,135.97,2.66,-9.91,2.42,0.33
243.5,92.28,2.52,135.8,2.67,-9.07,2.42,0.46
244.0,99.53,2.65,135.47,2.65,-8.96,2.42,0.61
244.5,102.63,2.79,135.47,2.6,-8.54,2.42,0.77
245.0,105.82,2.9,135.77,2.55,-7.29,2.42,0.91
245.5,111.28,2.96,135.8,2.49,-5.55,2.42,1.03
246.0,113.3,2.94,135.65,2.43,-3.56,2.42,1.07
246.5,111.81,2.79,135.82,2.35,-0.9,2.42,1.0
247.0,114.45,2.46,136.0,2.25,1.65,2.42,0.77
247.5,116.71,2.05,136.17,2.14,1.86,2.42,0.47
248.0,116.44,1.76,136.34,2.07,1.59,2.42,0.27
248.5,118.6,1.65,136.18,2.04,1.28,,0.21
249.0,124.23,1.68,136.02,2.09,0.8,,0.23
249.5,136.8,1.75,136.0,2.22,0.28,,0.23
250.0,153.07,1.85,136.0,2.38,-0.59,,0.17
250.5,160.75,2.18,136.02,2.52,-1.5,8.23,0.16
251.0,150.24,2.27,136.15,2.64,-1.76,8.22,-0.02
251.5,124.53,2.37,136.17,2.75,-2.04,8.23,-0.05
252.0,105.89,2.42,135.83,2.93,-2.81,8.24,-0.03
252.5,109.17,2.35,135.84,3.15,-4.45,8.3,-0.02
253.0,121.13,2.29,135.98,3.25,-6.51,8.33,-0.0
253.5,128.65,2.3,136.0,3.15,-7.41,8.34,0.01
254.0,127.85,2.35,136.02,2.89,-7.85,8.34,0.02
254.5,122.24,2.38,136.18,2.62,-8.89,8.32,0.02
255.0,118.98,2.38,136.37,2.44,-10.16,8.3,0.03
255.5,118.82,2.37,136.38,2.34,-11.22,8.3,0.03
256.0,120.99,2.35,136.55,2.31,-11.64,8.3,0.02
256.5,121.62,2.33,136.52,2.31,-10.78,8.3,0.01
257.0,117.26,2.32,136.22,2.33,-8.54,8.3,0.0
257.5,114.53,2.32,136.2,2.32,-5.77,8.3,0.0
258.0,111.97,2.35,136.37,2.32,-3.17,8.3,0.01
258.5,105.89,2.38,136.4,2.33,-1.5,8.3,0.02
259.0,97.95,2.38,136.75,2.35,-1.5,8.3,0.02
259.5,92.09,2.36,137.1,2.36,-2.43,8.3,0.02
260.0,90.21,2.34,137.13,2.37,-3.55,8.3,0.03
260.5,88.68,2.34,137.3,2.36,-3.97,8.3,0.04
261.0,87.02,2.34,137.28,2.34,-3.06,8.3,0.05
261.5,89.6,2.34,136.97,2.34,-0.89,8.3,0.05
262.0,97.01,2.33,136.97,2.34,1.02,8.3,0.04
262.5,103.05,2.32,137.3,2.37,2.42,8.3,0.04
263.0,104.78,2.33,137.48,2.41,3.44,8.3,0.03
263.5,105.49,2.33,137.5,2.45,3.81,8.3,0.03
264.0,104.92,2.34,137.5,2.44,3.43,8.3,0.03
264.5,100.11,2.35,137.5,2.37,2.39,8.3,0.03
265.0,97.43,2.35,137.5,2.25,1.4,8.3,0.02
